timestamp,lacc_x,lacc_y,lacc_z
3941036,6,1,13
3941046,2,-4,3
3941056,2,-3,-12
3941066,-7,-6,5
3941076,0,-7,3
3941086,4,-6,0
3941096,3,-1,-1
3941106,-1,-7,-6
3941116,7,-1,-12
3941126,-6,-8,12
3941136,5,-3,-1
3941146,0,-4,4
3941156,0,-3,-6
3941166,-1,-6,2
3941176,0,-4,0
3941186,1,-5,0
3941196,2,-3,-3
3941206,1,-4,-3
3941216,0,-5,-1
3941226,-2,-5,3
3941236,-10,-9,-1
3941246,3,0,-7
3941256,-8,-10,-20
3941266,0,-6,12
3941276,-4,-5,-10
3941286,0,-4,7
3941296,-3,-4,2
3941306,1,-5,-2
3941316,0,-1,-3
3941326,5,-7,-5
3941336,-1,-3,14
3941346,10,-2,-16
3941356,-9,-10,9
3941366,-1,-6,-1
3941376,0,-6,5
3941386,3,-5,-7
3941396,-1,-8,4
3941406,1,-4,-2
3941416,-2,-5,3
3941426,2,-5,-1
3941436,1,-6,0
3941446,0,-6,-4
3941456,-10,-8,3
3941466,-20,-13,-10
3941476,3,-3,-15
3941486,30,9,18
